Study	Article Title	Journal	Primary Synthesis Domain	Contributions to the Exposure–Conversion Synthesis
Gijsbrechts et al. (2003)	The impact of store flyers on store traffic and store sales: A geo-marketing approach	Journal of Retailing	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Goic et al. (2026)	The value of geolocation information across the promotion funnel	Marketing Letters	Location-based marketing and digital conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior
Gonzalez-Pampillon et al. (2024)	The economic impacts of the UK's eat out to help out scheme	Journal of Urban Economics	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
Graham et al. (2019)	Estimating the value of passing trade from pedestrian density	Journal of Retailing and Consumer Services	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Commercial districts and place-based markets
Hagen et al. (2024)	What drives consumers to use local online retail platforms? The influence of non-place-specific and place-specific motives	Journal of Retailing and Consumer Services	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
He et al. (2016)	Evolutionary location and pricing strategies for service merchants in competitive O2O markets	European Journal of Operational Research	Services, hospitality, and non-retail local markets	Location-based marketing linked to offline behavior; Local conditions shaping conversion
Hsieh et al. (2019)	Temporal popularity prediction of locations for geographical placement of retail stores	Knowledge and Information Systems	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior
Hwang & Park (2016)	The impact of Walmart supercenter conversion on consumer shopping behavior	Management Science	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Imran & Hyun (2024)	In-store shopping trip predictions and impact factors during COVID-19 emergencies	Transportation Planning and Technology	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Spatial access and market exposure
Inostroza-Quezada et al. (2026)	Using sensor technology to evaluate the effects of a price promotion on store arrival traffic	Journal of Business Research	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
Jiang (2024)	The effects of removing gender-based price discrimination on movie demand: Estimates using smartphone location data	International Journal of Industrial Organization	Services, hospitality, and non-retail local markets	Mobility measurement and visitation evidence; Mobility traces linked to market outcomes
Jung et al. (2019)	Fuels sales through retail chains and their store traffics and revenue	Asia Pacific Journal of Marketing and Logistics	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Kato & Hoshino (2019)	The Impact of Competitors’ Store Flyer Advertisements on EDLP/High-Low Chain Performance in a Highly Competitive Retail Market: GPS Information and POS Data Approach in Japan	Journal of Advertising	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Spatial access and market exposure; Local conditions shaping conversion
Keshanian et al. (2023)	Mobile advertisement campaigns for boosting in-store visits: A design framework and case study	Production and Operations Management	Location-based marketing and digital conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior
Khare et al. (2020)	Do mall events affect mall traffic and image? A qualitative study of Indian mall retailers	Asia Pacific Journal of Marketing and Logistics	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Khelladi et al. (2021)	The influence of geolocated mobile coupons on customer behavior	International Journal of Technology and Human Interaction	Location-based marketing and digital conversion	Mobility traces linked to market outcomes; Location-based marketing linked to offline behavior
Kim et al. (2019)	Location-based tracking data and customer movement pattern analysis for sustainable fashion business	Sustainability (Switzerland)	Retail traffic, visits, and store conversion	Mobility measurement and visitation evidence; Mobility traces linked to market outcomes
Kim & Lee (2020)	A systematic framework of predicting customer revisit with in-store sensors	Knowledge and Information Systems	Retail traffic, visits, and store conversion	Mobility measurement and visitation evidence; Mobility traces linked to market outcomes; Transferable mobility-market theory or methods
